Number,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
290,48,male,2,own,little,little,1024,24,radio/TV,bad
291,26,male,2,own,little,NA,1076,12,business,good
292,28,male,3,rent,little,moderate,9398,36,car,bad
293,44,female,3,free,little,little,6419,24,car,good
294,56,male,2,free,little,rich,4796,42,car,good
295,46,male,3,own,NA,NA,7629,48,business,good
296,26,female,2,own,little,moderate,9960,48,furniture/equipment,bad
297,20,female,2,rent,NA,NA,4675,12,car,good
298,45,male,1,own,NA,NA,1287,10,car,good
299,43,male,2,own,little,NA,2515,18,furniture/equipment,good
300,32,male,2,own,rich,moderate,2745,21,furniture/equipment,good
301,54,female,0,own,little,NA,672,6,car,good
302,42,female,2,own,little,moderate,3804,36,radio/TV,bad
303,37,male,1,own,NA,rich,1344,24,car,bad
304,49,male,2,own,little,little,1038,10,car,good
305,44,male,2,free,quite rich,NA,10127,48,car,bad
306,33,male,2,own,rich,NA,1543,6,furniture/equipment,good
307,24,female,1,rent,NA,NA,4811,30,car,good
308,33,male,1,own,moderate,little,727,12,radio/TV,bad
309,24,female,2,own,little,moderate,1237,8,furniture/equipment,bad
310,22,male,1,rent,little,moderate,276,9,car,good
311,40,male,0,free,NA,moderate,5381,48,vacation/others,good
312,25,male,2,own,moderate,NA,5511,24,furniture/equipment,good
313,26,female,2,own,little,rich,3749,24,furniture/equipment,good
314,25,male,1,own,little,moderate,685,12,car,bad
315,29,male,1,own,NA,rich,1494,4,car,good
316,31,male,2,own,little,little,2746,36,furniture/equipment,bad
317,38,male,1,own,little,little,708,12,furniture/equipment,good
318,48,female,1,own,NA,moderate,4351,24,furniture/equipment,good
319,32,male,2,own,little,NA,701,12,education,good
320,27,female,1,own,little,little,3643,15,furniture/equipment,good
321,28,male,3,own,little,moderate,4249,30,car,bad
322,32,male,2,own,little,little,1938,24,radio/TV,bad
323,34,male,3,free,little,little,2910,24,car,good
324,28,male,2,own,rich,little,2659,18,furniture/equipment,good
325,36,female,2,own,little,NA,1028,18,car,good
326,39,male,1,own,little,little,3398,8,car,good
327,49,male,2,rent,NA,NA,5801,12,furniture/equipment,good
328,34,female,2,own,rich,NA,1525,24,car,good
329,31,male,2,own,little,rich,4473,36,radio/TV,good
330,28,male,2,own,little,moderate,1068,6,radio/TV,good
331,75,male,3,free,little,little,6615,24,car,good
332,30,female,2,own,moderate,NA,1864,18,education,bad
333,24,female,3,own,moderate,moderate,7408,60,car,bad
334,24,female,1,rent,moderate,NA,11590,48,car,bad
335,23,male,2,rent,little,little,4110,24,furniture/equipment,bad
336,44,male,3,rent,little,little,3384,6,furniture/equipment,bad
337,23,female,1,own,little,moderate,2101,13,radio/TV,good
338,24,female,2,rent,NA,little,1275,15,domestic appliances,bad
339,28,male,2,own,little,little,4169,24,furniture/equipment,good
340,31,male,1,own,little,moderate,1521,10,furniture/equipment,good
341,24,female,2,free,little,moderate,5743,24,education,good
342,26,female,1,rent,little,little,3599,21,furniture/equipment,good
343,25,male,2,rent,quite rich,moderate,3213,18,radio/TV,good
344,33,male,3,own,little,moderate,4439,18,business,good
345,37,male,1,own,little,rich,3949,10,car,good
346,43,female,1,own,little,NA,1459,15,radio/TV,good
347,23,male,2,own,little,moderate,882,13,radio/TV,good
348,23,female,0,rent,quite rich,moderate,3758,24,radio/TV,good
349,34,male,1,own,moderate,NA,1743,6,business,good
350,32,male,2,free,rich,moderate,1136,9,education,bad
351,23,female,2,rent,little,NA,1236,9,domestic appliances,good
352,29,female,2,own,little,moderate,959,9,furniture/equipment,bad
353,38,male,3,own,NA,NA,3229,18,car,good
354,28,male,2,rent,little,little,6199,12,radio/TV,bad
355,46,male,2,free,quite rich,NA,727,10,education,good
356,23,male,1,own,little,moderate,1246,24,car,bad
357,49,male,2,own,NA,NA,2331,12,radio/TV,good
358,26,male,3,own,little,NA,4463,36,radio/TV,bad
359,28,male,2,own,little,NA,776,12,radio/TV,good
360,23,female,2,rent,little,little,2406,30,furniture/equipment,bad
361,61,male,2,free,NA,moderate,1239,18,education,good
362,37,male,3,own,NA,rich,3399,12,radio/TV,good
363,36,female,2,own,little,rich,2247,12,car,good
364,21,male,2,rent,little,NA,1766,6,furniture/equipment,good
365,25,male,0,own,little,little,2473,18,furniture/equipment,bad
366,36,male,2,own,little,NA,1542,12,business,good
367,27,male,2,own,little,NA,3850,18,car,good
368,22,female,2,rent,little,little,3650,18,furniture/equipment,good
369,42,male,2,own,little,little,3446,36,furniture/equipment,bad
370,40,female,2,rent,little,moderate,3001,18,furniture/equipment,good
371,36,male,2,own,NA,NA,3079,36,car,good
372,33,male,2,own,little,NA,6070,18,radio/TV,good
373,23,female,2,rent,little,NA,2146,10,furniture/equipment,good
374,63,male,3,free,NA,NA,13756,60,car,good
375,60,female,3,free,moderate,moderate,14782,60,vacation/others,bad
376,37,female,2,rent,little,little,7685,48,business,bad
377,34,male,2,own,little,NA,2320,18,radio/TV,good
378,36,male,2,free,NA,NA,846,7,radio/TV,good
379,57,male,3,free,little,moderate,14318,36,car,bad
380,52,female,1,own,moderate,NA,362,6,car,good
381,39,male,2,own,NA,little,2212,20,furniture/equipment,good
382,38,female,3,free,little,moderate,12976,18,car,bad
383,25,female,2,rent,NA,NA,1283,22,car,good
384,26,male,2,own,little,rich,1330,12,car,good
385,26,male,1,own,moderate,NA,4272,30,business,good
386,25,female,2,own,little,NA,2238,18,radio/TV,good
387,21,female,2,rent,NA,NA,1126,18,radio/TV,good
388,40,male,3,own,little,moderate,7374,18,furniture/equipment,good
389,27,male,2,own,quite rich,moderate,2326,15,business,good
390,27,female,2,own,little,NA,1449,9,business,good
391,30,male,3,own,little,NA,1820,18,car,good
392,19,female,1,rent,rich,moderate,983,12,furniture/equipment,good
393,39,male,3,free,little,little,3249,36,car,good
394,31,female,2,own,little,little,1957,6,radio/TV,good
395,31,male,3,own,little,NA,2406,9,furniture/equipment,good
396,32,male,2,rent,moderate,moderate,11760,39,education,good
397,55,female,3,free,little,little,2578,12,furniture/equipment,good
398,46,male,2,own,little,little,2348,36,furniture/equipment,good
399,46,male,2,rent,little,moderate,1223,12,car,bad
400,43,female,1,own,rich,NA,1516,24,radio/TV,good
401,39,male,2,own,little,NA,1473,18,radio/TV,good
402,28,male,2,own,NA,moderate,1887,18,business,good
403,27,male,2,own,little,NA,8648,24,business,bad
404,27,male,1,own,little,NA,802,14,car,good
405,43,male,2,own,NA,moderate,2899,18,car,good
406,22,male,2,own,little,moderate,2039,24,radio/TV,bad
407,43,male,2,own,NA,NA,2197,24,car,good
408,27,male,2,own,little,little,1053,15,radio/TV,good
409,26,male,3,own,quite rich,NA,3235,24,radio/TV,good
410,28,male,2,own,quite rich,rich,939,12,car,bad
411,20,female,2,own,little,moderate,1967,24,radio/TV,good
412,35,male,3,own,little,NA,7253,33,car,good
413,42,male,3,own,little,NA,2292,12,business,bad
414,40,male,1,rent,quite rich,NA,1597,10,car,good
415,35,female,2,own,NA,little,1381,24,car,bad
416,35,male,2,own,little,NA,5842,36,car,good
417,33,male,1,own,little,little,2579,12,car,bad
418,23,female,2,rent,NA,little,8471,18,education,good
419,31,female,3,own,quite rich,NA,2782,21,car,good
420,33,female,2,own,NA,moderate,1042,18,car,bad
421,20,female,2,rent,rich,NA,3186,15,car,good
422,30,male,2,own,NA,moderate,2028,12,car,good
423,47,male,1,own,little,moderate,958,12,car,good
424,34,male,3,own,moderate,NA,1591,21,furniture/equipment,good
425,25,female,2,own,NA,moderate,2762,12,furniture/equipment,bad
426,21,male,2,rent,little,moderate,2779,18,car,good
427,29,male,2,own,little,NA,2743,28,radio/TV,good
428,46,male,2,own,rich,NA,1149,18,radio/TV,good
429,20,male,2,own,little,NA,1313,9,furniture/equipment,good
430,55,female,0,free,little,little,1190,18,repairs,bad
431,74,male,1,own,little,NA,3448,5,business,good
432,29,male,3,own,little,moderate,11328,24,vacation/others,bad
433,36,male,3,free,little,little,1872,6,furniture/equipment,good
434,33,male,2,own,little,NA,2058,24,repairs,good
435,25,male,2,own,little,little,2136,9,furniture/equipment,good
436,25,male,2,own,NA,moderate,1484,12,radio/TV,bad
437,23,male,1,rent,quite rich,NA,660,6,repairs,good
438,37,female,2,own,rich,NA,1287,24,car,good
439,65,male,0,own,little,little,3394,42,repairs,good
440,26,female,0,own,little,rich,609,12,business,bad
441,39,male,3,own,little,NA,1884,12,car,good
442,30,female,2,own,little,little,1620,12,furniture/equipment,good
443,29,male,2,own,little,moderate,2629,20,vacation/others,good
444,41,male,1,own,little,NA,719,12,education,bad
445,30,female,3,own,little,moderate,5096,48,furniture/equipment,bad
446,41,female,1,rent,NA,NA,1244,9,education,good
447,34,female,2,own,little,little,1842,36,car,bad
448,35,male,2,own,little,moderate,2576,7,radio/TV,good
449,55,female,3,own,NA,rich,1424,12,furniture/equipment,good
450,61,male,2,own,rich,moderate,1512,15,repairs,bad
451,30,male,3,own,NA,NA,11054,36,car,good
452,29,female,2,own,little,NA,518,6,radio/TV,good
453,34,male,2,own,little,NA,2759,12,furniture/equipment,good
454,35,male,3,own,little,NA,2670,24,car,good
455,31,male,2,own,little,little,4817,24,car,bad
456,29,female,3,own,little,NA,2679,24,car,good
457,36,male,2,rent,little,little,3905,11,car,good
458,35,male,2,free,little,little,3386,12,car,bad
459,27,female,2,own,little,little,343,6,domestic appliances,good
460,32,male,2,own,little,NA,4594,18,radio/TV,good
461,37,male,2,own,little,little,3620,36,furniture/equipment,good
462,36,male,2,own,little,little,1721,15,car,good
463,34,female,3,rent,little,moderate,3017,12,furniture/equipment,good
464,38,male,2,own,NA,moderate,754,12,education,good
465,34,male,2,own,little,NA,1950,18,business,good
466,63,male,2,own,little,little,2924,24,car,good
467,29,female,1,rent,little,little,1659,24,radio/TV,bad
468,32,male,2,own,NA,NA,7238,48,radio/TV,good
469,26,female,2,own,little,NA,2764,33,business,good
470,35,male,1,own,little,NA,4679,24,car,good
471,22,male,2,rent,moderate,moderate,3092,24,radio/TV,bad
472,23,female,2,own,little,little,448,6,education,bad
473,28,male,1,own,little,little,654,9,car,bad
474,36,male,3,own,NA,NA,1238,6,education,good
475,33,male,2,own,little,moderate,1245,18,radio/TV,bad
476,26,female,2,rent,little,little,3114,18,furniture/equipment,bad
477,24,male,2,own,quite rich,NA,2569,39,car,good
478,25,male,2,own,little,rich,5152,24,radio/TV,good
479,39,male,1,own,moderate,moderate,1037,12,business,good
480,44,male,2,own,little,little,1478,15,furniture/equipment,good
481,23,female,1,own,little,moderate,3573,12,radio/TV,good
482,26,male,2,own,little,moderate,1201,24,car,good
483,57,female,2,rent,rich,little,3622,30,furniture/equipment,good
484,30,female,2,own,rich,NA,960,15,furniture/equipment,good
485,44,male,2,own,quite rich,NA,1163,12,car,good
486,47,male,3,own,little,moderate,1209,6,car,bad
487,52,male,2,own,little,NA,3077,12,radio/TV,good
488,62,female,2,free,little,NA,3757,24,car,good
489,35,male,1,rent,moderate,NA,1418,10,car,good
490,26,male,2,rent,little,NA,3518,6,car,good
491,26,male,2,own,little,NA,1934,12,radio/TV,good
492,42,female,3,free,little,moderate,8318,27,business,bad
493,27,female,2,own,moderate,NA,1237,6,radio/TV,good
494,38,male,2,own,NA,moderate,368,6,radio/TV,good
495,39,male,1,rent,little,little,2122,12,car,good
496,20,male,2,own,NA,little,2996,24,furniture/equipment,bad
497,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,bad
498,40,male,2,own,little,NA,1585,24,furniture/equipment,good
499,32,male,1,own,little,moderate,1301,18,radio/TV,good
500,28,male,2,own,moderate,rich,1323,6,car,good
501,27,female,2,own,little,little,3123,24,car,bad
502,42,male,2,free,little,little,5493,36,car,good
503,49,male,2,own,moderate,rich,1126,9,radio/TV,good
504,38,male,2,own,moderate,moderate,1216,24,radio/TV,bad
505,24,female,2,rent,little,little,1207,24,car,bad
506,27,male,1,own,NA,NA,1309,10,car,bad
