Number,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
442,"[20, 40[",female,2,own,little,little,1620,12,furniture/equipment,good
445,"[20, 40[",female,3,own,little,moderate,5096,48,furniture/equipment,bad
447,"[20, 40[",female,2,own,little,little,1842,36,car,bad
452,"[20, 40[",female,2,own,little,NA,518,6,radio/TV,good
456,"[20, 40[",female,3,own,little,NA,2679,24,car,good
459,"[20, 40[",female,2,own,little,little,343,6,domestic appliances,good
463,"[20, 40[",female,3,rent,little,moderate,3017,12,furniture/equipment,good
467,"[20, 40[",female,1,rent,little,little,1659,24,radio/TV,bad
469,"[20, 40[",female,2,own,little,NA,2764,33,business,good
472,"[20, 40[",female,2,own,little,little,448,6,education,bad
476,"[20, 40[",female,2,rent,little,little,3114,18,furniture/equipment,bad
481,"[20, 40[",female,1,own,little,moderate,3573,12,radio/TV,good
484,"[20, 40[",female,2,own,rich,NA,960,15,furniture/equipment,good
493,"[20, 40[",female,2,own,moderate,NA,1237,6,radio/TV,good
501,"[20, 40[",female,2,own,little,little,3123,24,car,bad
505,"[20, 40[",female,2,rent,little,little,1207,24,car,bad
516,"[20, 40[",female,2,own,little,little,609,6,car,good
518,"[20, 40[",female,2,rent,little,NA,7127,36,furniture/equipment,bad
522,"[20, 40[",female,2,own,little,little,3190,18,radio/TV,bad
524,"[20, 40[",female,2,own,moderate,NA,3488,24,car,good
525,"[20, 40[",female,1,own,little,moderate,1113,18,radio/TV,good
527,"[20, 40[",female,2,own,moderate,NA,1532,15,education,good
532,"[20, 40[",female,2,rent,moderate,moderate,2631,15,car,bad
538,"[20, 40[",female,2,own,little,moderate,3612,18,furniture/equipment,good
547,"[20, 40[",female,2,own,little,NA,2022,24,car,good
549,"[20, 40[",female,1,own,little,little,626,12,radio/TV,bad
551,"[20, 40[",female,2,own,NA,NA,996,12,repairs,good
557,"[20, 40[",female,2,own,moderate,moderate,2278,18,car,bad
558,"[20, 40[",female,2,own,NA,NA,5003,21,car,bad
563,"[20, 40[",female,2,own,little,rich,683,6,radio/TV,good
566,"[20, 40[",female,2,rent,moderate,moderate,1553,24,radio/TV,good
570,"[20, 40[",female,2,own,little,little,6758,48,radio/TV,bad
571,"[20, 40[",female,1,rent,little,little,3234,24,furniture/equipment,bad
573,"[20, 40[",female,3,rent,NA,NA,5433,24,car,good
574,"[20, 40[",female,1,own,little,little,806,15,business,good
576,"[20, 40[",female,2,own,little,NA,2788,15,furniture/equipment,good
577,"[20, 40[",female,2,own,little,moderate,2930,12,radio/TV,good
578,"[20, 40[",female,2,own,NA,NA,1927,24,education,good
583,"[20, 40[",female,2,rent,little,NA,1388,9,furniture/equipment,good
586,"[20, 40[",female,2,rent,little,little,2039,18,furniture/equipment,bad
593,"[20, 40[",female,1,own,rich,NA,1572,21,business,good
594,"[20, 40[",female,1,rent,little,moderate,2718,24,car,bad
596,"[20, 40[",female,1,own,moderate,moderate,931,6,car,bad
597,"[20, 40[",female,2,rent,little,little,1442,24,car,bad
602,"[20, 40[",female,2,own,little,moderate,918,9,furniture/equipment,bad
603,"[20, 40[",female,1,free,little,moderate,1837,24,education,bad
604,"[20, 40[",female,3,own,little,NA,3349,36,furniture/equipment,bad
605,"[20, 40[",female,2,own,little,rich,1275,10,furniture/equipment,good
611,"[20, 40[",female,2,own,moderate,little,741,12,domestic appliances,bad
613,"[20, 40[",female,2,own,rich,little,3357,21,radio/TV,good
614,"[20, 40[",female,2,rent,little,little,3632,24,car,good
615,"[20, 40[",female,2,own,little,NA,1808,18,furniture/equipment,bad
619,"[20, 40[",female,2,rent,moderate,moderate,3441,30,furniture/equipment,bad
624,"[20, 40[",female,2,rent,little,little,1858,12,furniture/equipment,good
631,"[20, 40[",female,2,own,little,little,3660,24,radio/TV,good
635,"[20, 40[",female,1,own,little,moderate,1355,24,car,bad
637,"[20, 40[",female,2,own,quite rich,NA,1376,24,radio/TV,good
639,"[20, 40[",female,2,own,little,NA,1493,12,radio/TV,good
641,"[20, 40[",female,0,own,little,little,750,18,education,bad
648,"[20, 40[",female,2,own,quite rich,NA,1386,12,car,bad
659,"[20, 40[",female,2,own,little,moderate,4221,30,business,good
668,"[20, 40[",female,2,own,little,NA,3609,48,business,good
676,"[20, 40[",female,3,rent,little,NA,4530,30,radio/TV,good
680,"[20, 40[",female,2,own,little,NA,1453,18,radio/TV,good
692,"[20, 40[",female,1,own,moderate,moderate,2631,15,repairs,good
698,"[20, 40[",female,0,own,little,NA,926,12,car,good
701,"[20, 40[",female,1,rent,quite rich,NA,1123,12,furniture/equipment,bad
705,"[20, 40[",female,2,own,little,moderate,2528,27,business,good
706,"[20, 40[",female,2,free,quite rich,NA,5324,15,car,good
708,"[20, 40[",female,2,rent,little,moderate,2969,12,furniture/equipment,bad
709,"[20, 40[",female,2,own,little,moderate,1206,9,radio/TV,good
712,"[20, 40[",female,2,free,little,little,1198,6,education,bad
722,"[20, 40[",female,2,rent,rich,moderate,433,6,education,bad
723,"[20, 40[",female,1,own,little,little,1228,12,car,bad
725,"[20, 40[",female,2,rent,little,NA,2570,27,car,bad
728,"[20, 40[",female,2,rent,little,little,1882,18,radio/TV,bad
734,"[20, 40[",female,2,rent,rich,NA,2603,24,car,good
735,"[20, 40[",female,2,own,little,NA,3380,4,car,good
736,"[20, 40[",female,0,own,NA,moderate,3990,36,domestic appliances,good
737,"[20, 40[",female,3,rent,little,moderate,11560,24,car,bad
740,"[20, 40[",female,1,rent,moderate,moderate,4280,30,business,bad
747,"[20, 40[",female,2,rent,little,little,2511,15,car,good
748,"[20, 40[",female,1,own,little,little,1274,12,car,bad
752,"[20, 40[",female,1,own,little,little,976,18,car,bad
753,"[20, 40[",female,1,rent,moderate,moderate,841,12,business,good
754,"[20, 40[",female,2,own,little,NA,5771,30,radio/TV,good
756,"[20, 40[",female,2,rent,NA,little,1285,24,car,bad
762,"[20, 40[",female,2,rent,little,little,2124,18,furniture/equipment,bad
768,"[20, 40[",female,2,rent,NA,NA,2901,10,car,good
771,"[20, 40[",female,2,rent,NA,little,2812,24,car,good
772,"[20, 40[",female,3,own,little,little,8065,36,education,bad
776,"[20, 40[",female,2,rent,NA,little,1371,24,car,bad
778,"[20, 40[",female,2,own,little,little,3509,18,radio/TV,good
784,"[20, 40[",female,1,own,moderate,moderate,836,12,car,bad
791,"[20, 40[",female,2,own,little,moderate,1188,21,business,bad
796,"[20, 40[",female,2,rent,moderate,NA,2301,9,furniture/equipment,good
798,"[20, 40[",female,1,rent,little,NA,1258,12,furniture/equipment,good
803,"[20, 40[",female,2,own,little,little,4272,20,furniture/equipment,good
805,"[20, 40[",female,0,rent,NA,moderate,7472,12,car,good
810,"[20, 40[",female,0,rent,little,moderate,1778,15,car,bad
818,"[20, 40[",female,2,rent,little,NA,1554,6,radio/TV,good
827,"[20, 40[",female,2,rent,little,little,3966,18,car,bad
832,"[20, 40[",female,2,rent,little,little,1216,18,car,bad
835,"[20, 40[",female,1,own,little,rich,2327,15,radio/TV,bad
837,"[20, 40[",female,2,own,NA,NA,886,12,radio/TV,good
838,"[20, 40[",female,1,rent,little,NA,601,4,furniture/equipment,good
843,"[20, 40[",female,2,own,little,NA,1943,18,repairs,bad
859,"[20, 40[",female,2,own,little,little,3959,15,car,bad
863,"[20, 40[",female,2,own,little,little,2439,24,radio/TV,bad
866,"[20, 40[",female,2,rent,quite rich,NA,2221,15,furniture/equipment,good
867,"[20, 40[",female,2,own,little,little,2389,18,radio/TV,good
870,"[20, 40[",female,2,rent,little,little,652,12,furniture/equipment,good
874,"[20, 40[",female,2,own,NA,NA,874,15,domestic appliances,good
897,"[20, 40[",female,3,rent,little,little,2606,21,radio/TV,good
898,"[20, 40[",female,2,own,rich,NA,1592,12,furniture/equipment,good
899,"[20, 40[",female,1,rent,NA,NA,2186,15,furniture/equipment,good
910,"[20, 40[",female,1,own,NA,moderate,3195,9,car,good
911,"[20, 40[",female,2,own,little,NA,4454,36,radio/TV,good
912,"[20, 40[",female,1,own,little,moderate,4736,24,furniture/equipment,bad
913,"[20, 40[",female,2,own,NA,moderate,2991,30,radio/TV,good
916,"[20, 40[",female,3,own,little,moderate,18424,48,vacation/others,bad
921,"[20, 40[",female,2,own,little,NA,1817,18,furniture/equipment,good
923,"[20, 40[",female,2,rent,little,little,1366,9,radio/TV,bad
927,"[20, 40[",female,2,rent,little,little,1049,18,furniture/equipment,good
932,"[20, 40[",female,2,own,little,moderate,1670,9,radio/TV,bad
935,"[20, 40[",female,2,own,little,little,1498,12,radio/TV,good
937,"[20, 40[",female,1,own,little,rich,745,9,radio/TV,bad
946,"[20, 40[",female,2,own,quite rich,moderate,8358,48,car,good
953,"[20, 40[",female,2,rent,quite rich,moderate,4113,24,car,bad
954,"[20, 40[",female,3,own,little,NA,10974,36,furniture/equipment,bad
955,"[20, 40[",female,2,own,little,little,1893,12,car,good
966,"[20, 40[",female,2,own,NA,moderate,1715,30,radio/TV,good
973,"[20, 40[",female,0,rent,little,little,1193,24,car,bad
975,"[20, 40[",female,2,own,little,NA,2831,30,radio/TV,good
983,"[20, 40[",female,3,own,moderate,rich,2923,21,car,good
986,"[20, 40[",female,2,rent,little,little,1433,15,furniture/equipment,good
996,"[20, 40[",female,1,own,little,NA,1736,12,furniture/equipment,good
19,"[40, 60[",female,3,free,little,moderate,12579,24,car,bad
28,"[40, 60[",female,2,rent,rich,rich,409,12,radio/TV,good
45,"[40, 60[",female,1,free,little,little,6143,48,car,bad
74,"[40, 60[",female,1,own,little,moderate,5954,42,business,good
81,"[40, 60[",female,2,own,NA,NA,5943,24,radio/TV,bad
84,"[40, 60[",female,1,own,little,little,1755,24,vacation/others,good
122,"[40, 60[",female,3,rent,little,NA,3868,24,car,good
140,"[40, 60[",female,1,rent,little,rich,1881,12,radio/TV,good
148,"[40, 60[",female,2,own,moderate,NA,682,12,car,good
176,"[40, 60[",female,3,own,NA,NA,7485,30,car,bad
212,"[40, 60[",female,1,own,NA,NA,3835,36,radio/TV,good
252,"[40, 60[",female,1,own,little,rich,2251,12,furniture/equipment,good
260,"[40, 60[",female,1,own,moderate,NA,1154,11,radio/TV,good
262,"[40, 60[",female,2,own,little,little,1603,24,radio/TV,good
264,"[40, 60[",female,1,free,little,NA,2748,12,education,good
289,"[40, 60[",female,2,own,little,moderate,1092,12,radio/TV,good
293,"[40, 60[",female,3,free,little,little,6419,24,car,good
301,"[40, 60[",female,0,own,little,NA,672,6,car,good
302,"[40, 60[",female,2,own,little,moderate,3804,36,radio/TV,bad
318,"[40, 60[",female,1,own,NA,moderate,4351,24,furniture/equipment,good
346,"[40, 60[",female,1,own,little,NA,1459,15,radio/TV,good
370,"[40, 60[",female,2,rent,little,moderate,3001,18,furniture/equipment,good
380,"[40, 60[",female,1,own,moderate,NA,362,6,car,good
397,"[40, 60[",female,3,free,little,little,2578,12,furniture/equipment,good
400,"[40, 60[",female,1,own,rich,NA,1516,24,radio/TV,good
430,"[40, 60[",female,0,free,little,little,1190,18,repairs,bad
446,"[40, 60[",female,1,rent,NA,NA,1244,9,education,good
449,"[40, 60[",female,3,own,NA,rich,1424,12,furniture/equipment,good
483,"[40, 60[",female,2,rent,rich,little,3622,30,furniture/equipment,good
492,"[40, 60[",female,3,free,little,moderate,8318,27,business,bad
540,"[40, 60[",female,1,own,little,rich,3049,18,furniture/equipment,good
585,"[40, 60[",female,3,free,NA,NA,2133,12,car,good
591,"[40, 60[",female,1,own,little,little,385,12,radio/TV,good
592,"[40, 60[",female,2,rent,NA,moderate,1965,24,car,good
601,"[40, 60[",female,2,own,little,moderate,2329,7,radio/TV,good
608,"[40, 60[",female,2,free,moderate,moderate,2671,36,radio/TV,bad
612,"[40, 60[",female,1,free,moderate,rich,1240,10,car,bad
665,"[40, 60[",female,1,own,little,rich,1047,6,education,good
681,"[40, 60[",female,2,own,little,NA,1538,6,education,good
703,"[40, 60[",female,2,free,moderate,rich,1377,24,radio/TV,good
726,"[40, 60[",female,1,own,rich,NA,250,6,car,good
729,"[40, 60[",female,2,rent,little,moderate,6416,48,business,bad
733,"[40, 60[",female,1,own,little,moderate,760,8,radio/TV,good
751,"[40, 60[",female,2,own,little,little,428,6,furniture/equipment,good
761,"[40, 60[",female,2,own,NA,NA,5045,15,car,good
802,"[40, 60[",female,1,rent,little,moderate,1795,18,radio/TV,good
816,"[40, 60[",female,2,rent,little,moderate,7432,36,car,good
834,"[40, 60[",female,2,own,NA,moderate,5084,24,radio/TV,good
857,"[40, 60[",female,2,own,NA,NA,894,10,education,good
871,"[40, 60[",female,2,own,quite rich,NA,7678,36,furniture/equipment,good
876,"[40, 60[",female,2,own,rich,moderate,1322,11,car,good
886,"[40, 60[",female,2,own,little,little,795,12,education,bad
909,"[40, 60[",female,1,own,little,NA,3594,15,car,good
945,"[40, 60[",female,2,rent,little,little,1845,15,furniture/equipment,good
956,"[40, 60[",female,3,rent,rich,little,1231,24,radio/TV,good
968,"[40, 60[",female,3,rent,little,NA,3568,15,radio/TV,good
976,"[40, 60[",female,1,own,quite rich,rich,1258,24,radio/TV,good
97,"[60, 70[",female,2,own,NA,NA,2012,12,education,good
220,"[60, 70[",female,2,own,little,NA,1364,10,car,good
375,"[60, 70[",female,3,free,moderate,moderate,14782,60,vacation/others,bad
488,"[60, 70[",female,2,free,little,NA,3757,24,car,good
555,"[60, 70[",female,3,own,little,moderate,1199,9,education,good
724,"[60, 70[",female,1,own,quite rich,moderate,790,9,radio/TV,good
780,"[60, 70[",female,2,own,little,moderate,3872,18,repairs,good
884,"[60, 70[",female,0,own,little,NA,1098,18,radio/TV,good
977,"[60, 70[",female,2,own,little,moderate,753,6,radio/TV,good
988,"[60, 70[",female,2,own,moderate,NA,1409,13,radio/TV,good
164,>=70,male,3,free,little,moderate,7308,10,car,good
331,>=70,male,3,free,little,little,6615,24,car,good
431,>=70,male,1,own,little,NA,3448,5,business,good
607,>=70,male,3,own,little,NA,4526,24,business,good
757,>=70,male,0,own,little,rich,1299,6,car,good
6,"[20, 40[",male,1,free,NA,NA,9055,36,education,good
8,"[20, 40[",male,3,rent,little,moderate,6948,36,car,good
10,"[20, 40[",male,3,own,little,moderate,5234,30,car,bad
18,"[20, 40[",male,2,own,NA,little,8072,30,business,good
20,"[20, 40[",male,2,own,quite rich,NA,3430,24,radio/TV,good
25,"[20, 40[",male,2,own,NA,NA,2069,10,furniture/equipment,good
26,"[20, 40[",male,1,own,little,little,1374,6,furniture/equipment,good
27,"[20, 40[",male,1,own,little,NA,426,6,radio/TV,good
29,"[20, 40[",male,2,own,little,moderate,2415,7,radio/TV,good
31,"[20, 40[",male,2,own,rich,moderate,1913,18,business,good
32,"[20, 40[",male,2,own,little,little,4020,24,furniture/equipment,good
33,"[20, 40[",male,2,own,moderate,moderate,5866,18,car,good
36,"[20, 40[",male,1,own,little,moderate,4746,45,radio/TV,bad
37,"[20, 40[",male,2,free,little,NA,6110,48,education,good
38,"[20, 40[",male,2,own,little,rich,2100,18,radio/TV,bad
39,"[20, 40[",male,2,own,little,rich,1225,10,domestic appliances,good
40,"[20, 40[",male,2,own,little,moderate,458,9,radio/TV,good
41,"[20, 40[",male,3,own,quite rich,NA,2333,30,radio/TV,good
42,"[20, 40[",male,2,own,quite rich,moderate,1158,12,radio/TV,good
44,"[20, 40[",male,2,rent,moderate,little,6187,30,car,good
47,"[20, 40[",male,2,own,quite rich,NA,2299,36,radio/TV,good
49,"[20, 40[",male,1,own,little,NA,7228,11,car,good
51,"[20, 40[",male,1,own,NA,moderate,2333,24,furniture/equipment,good
52,"[20, 40[",male,3,own,little,moderate,5965,27,car,good
53,"[20, 40[",male,2,own,little,NA,1262,12,radio/TV,good
54,"[20, 40[",male,2,own,NA,NA,3378,18,car,good
56,"[20, 40[",male,1,own,NA,NA,783,6,car,good
61,"[20, 40[",male,2,own,little,moderate,1391,9,business,good
64,"[20, 40[",male,2,own,little,moderate,14421,48,business,bad
68,"[20, 40[",male,2,own,rich,moderate,1007,12,car,good
69,"[20, 40[",male,2,free,little,NA,1819,36,education,bad
77,"[20, 40[",male,2,own,little,little,3965,42,radio/TV,bad
79,"[20, 40[",male,1,own,NA,NA,9436,54,car,good
80,"[20, 40[",male,2,own,little,moderate,3832,30,furniture/equipment,good
89,"[20, 40[",male,3,own,moderate,little,2249,18,car,good
90,"[20, 40[",male,2,own,little,little,1108,12,repairs,bad
94,"[20, 40[",male,2,rent,NA,rich,3617,24,furniture/equipment,good
98,"[20, 40[",male,2,own,moderate,moderate,2622,18,business,good
99,"[20, 40[",male,2,own,little,moderate,2337,36,radio/TV,good
100,"[20, 40[",male,3,rent,NA,moderate,7057,20,car,good
102,"[20, 40[",male,2,rent,little,moderate,2323,36,radio/TV,good
104,"[20, 40[",male,2,rent,little,moderate,1919,9,furniture/equipment,good
105,"[20, 40[",male,2,rent,NA,NA,2445,12,car,good
106,"[20, 40[",male,3,own,little,moderate,11938,24,vacation/others,bad
107,"[20, 40[",male,3,own,little,NA,6458,18,car,bad
108,"[20, 40[",male,2,own,little,moderate,6078,12,car,good
110,"[20, 40[",male,2,own,quite rich,moderate,1410,14,business,good
111,"[20, 40[",male,2,own,moderate,moderate,1449,6,business,good
113,"[20, 40[",male,1,rent,little,moderate,6260,18,car,good
115,"[20, 40[",male,2,own,quite rich,little,1680,12,radio/TV,good
120,"[20, 40[",male,3,own,quite rich,moderate,2366,12,car,good
123,"[20, 40[",male,1,rent,little,NA,1768,12,furniture/equipment,good
126,"[20, 40[",male,2,own,little,little,2121,12,car,good
128,"[20, 40[",male,2,own,little,moderate,639,12,repairs,bad
129,"[20, 40[",male,3,own,little,moderate,1860,12,car,good
132,"[20, 40[",male,2,own,little,little,6887,36,education,bad
133,"[20, 40[",male,1,own,little,NA,2708,15,furniture/equipment,good
137,"[20, 40[",male,2,own,rich,NA,8613,27,car,good
139,"[20, 40[",male,2,own,NA,moderate,2728,15,radio/TV,good
141,"[20, 40[",male,0,own,rich,rich,709,6,car,good
143,"[20, 40[",male,3,own,little,little,3416,27,radio/TV,good
144,"[20, 40[",male,2,own,little,little,2462,18,furniture/equipment,bad
146,"[20, 40[",male,2,own,moderate,moderate,3566,48,business,good
149,"[20, 40[",male,2,own,little,little,5371,36,furniture/equipment,good
152,"[20, 40[",male,2,own,little,NA,1924,10,radio/TV,good
153,"[20, 40[",male,2,own,little,rich,5848,36,radio/TV,good
155,"[20, 40[",male,3,rent,moderate,moderate,6967,24,business,good
159,"[20, 40[",male,2,own,moderate,moderate,3512,24,car,good
160,"[20, 40[",male,1,own,NA,NA,1898,6,radio/TV,good
161,"[20, 40[",male,2,own,moderate,NA,2872,24,radio/TV,good
163,"[20, 40[",male,2,own,quite rich,NA,1262,15,domestic appliances,good
165,"[20, 40[",male,2,own,quite rich,NA,909,36,car,good
166,"[20, 40[",male,2,own,quite rich,NA,2978,6,furniture/equipment,good
170,"[20, 40[",male,2,own,little,moderate,1935,24,business,bad
171,"[20, 40[",male,2,rent,little,little,950,15,car,bad
174,"[20, 40[",male,2,own,little,moderate,1414,8,radio/TV,good
175,"[20, 40[",male,2,own,little,little,3414,21,education,bad
179,"[20, 40[",male,3,rent,little,NA,1963,12,radio/TV,good
181,"[20, 40[",male,2,own,little,NA,9572,36,business,bad
182,"[20, 40[",male,3,own,little,moderate,4455,36,business,bad
185,"[20, 40[",male,2,own,little,moderate,884,18,car,bad
186,"[20, 40[",male,2,own,little,NA,1360,15,radio/TV,good
189,"[20, 40[",male,2,own,moderate,little,674,12,radio/TV,bad
192,"[20, 40[",male,1,free,moderate,moderate,3844,48,business,bad
193,"[20, 40[",male,2,own,little,moderate,3915,27,business,bad
194,"[20, 40[",male,2,rent,little,NA,2108,6,radio/TV,good
195,"[20, 40[",male,2,rent,moderate,moderate,3031,45,radio/TV,bad
199,"[20, 40[",male,2,free,NA,moderate,2760,24,car,good
202,"[20, 40[",male,1,own,little,little,1168,12,car,good
203,"[20, 40[",male,2,own,little,NA,5117,27,business,good
204,"[20, 40[",male,2,rent,little,little,902,12,education,bad
205,"[20, 40[",male,1,own,little,NA,1495,12,car,good
206,"[20, 40[",male,3,free,little,little,10623,30,car,good
208,"[20, 40[",male,2,own,little,moderate,1424,12,domestic appliances,good
209,"[20, 40[",male,1,own,little,little,6568,24,business,good
211,"[20, 40[",male,2,own,NA,NA,3074,9,radio/TV,good
217,"[20, 40[",male,2,own,little,little,3104,18,business,good
218,"[20, 40[",male,2,own,little,rich,3913,36,radio/TV,good
219,"[20, 40[",male,1,rent,little,little,3021,24,furniture/equipment,good
